K;Ca;Mg;M.O.;MO1;MOC;MOD;logK;MOD1
0.21;2.19;0.98;16.87;1.69;Baja;0;-1.560647779;1
0.2;2.58;1.12;21.14;2.11;alta;1;-1.609437898;0
0.12;1.94;1.04;16.33;1.63;Baja;0;-2.120263559;1
0.17;1.88;0.47;16.33;1.63;Baja;0;-1.771956831;1
0.15;2.24;0.75;15.52;1.55;Baja;0;-1.897119945;1
0.14;3.45;1.06;19.75;1.98;Baja;0;-1.966112852;1
0.19;3.54;1.41;21;2.1;alta;1;-1.660731219;0
0.22;2.97;0.83;15.39;1.54;Baja;0;-1.514127738;1
0.26;2.06;0.98;21.85;2.19;alta;1;-1.347073685;0
0.07;0.75;0.66;10.54;1.05;Baja;0;-2.659260033;1
0.18;2.33;0.86;18.1;1.81;Baja;0;-1.714798388;1
0.2;2.72;1.16;20.58;2.06;alta;1;-1.609437898;0
0.32;3.5;1.4;27.64;2.76;alta;1;-1.139434306;0
0.48;3.54;1.23;23.13;2.31;alta;1;-0.733969197;0
0.33;2.69;0.51;17.41;1.74;Baja;0;-1.108662585;1
0.22;3.29;0.58;13.66;1.37;Baja;0;-1.514127738;1
0.57;6.56;1.55;30.19;3.02;alta;1;-0.562118931;0
0.45;3.88;0.9;20.17;2.02;alta;1;-0.798507723;0
